word	translation	category	reason	hallelujah_original	frequency
quicksilver	n.；adj. 水银；汞；快银（漫威漫画旗下超级英雄）	EXCELLENT	POS	n. 水银；汞|adj. 极快的；反复无常的	808862
ragazza	n. 女孩； 女郎(中等阶层的)	EXCELLENT	POS	n.  <意>女孩； 女郎(中等阶层的)	163812
reattachment	n. 重附着，回贴； 再附着	EXCELLENT	POS	n. 重附着	25202
recessional	adj.；n. （礼拜仪式后牧师及唱诗班退场时所唱的）退场赞美诗	EXCELLENT	POS	adj. 后退的；议会休会的|n. 退场的赞美歌	44184
reclusion	n. 隐居遁世，隐居生活； 隐退	EXCELLENT	POS	n. 隐遁；隐遁生活	21371
regretting	v. 后悔；惋惜；为 ... 感到遗憾；n. 遗憾；抱歉；后悔	EXCELLENT	POS	v. 后悔；惋惜；为 ... 感到遗憾|n. 遗憾；抱歉；后悔	144069
representation	n. 陈述；表现；表示法	EXCELLENT	POS	n. 陈述；表现；表示法	18650172
repulse	n. 击退；拒绝；v. 击退；拒绝	EXCELLENT	POS	n. 击退；拒绝|v. 击退；拒绝	129882
retransfer	n. 重新传送；v. 再转移；转移到原状	EXCELLENT	POS	n. 重新传送|v. 再转移；转移到原状	13063
ringside	n. 拳击场；马戏团；比赛场的前缘	EXCELLENT	POS	n. 马戏团；拳击场	227980
roosendaal	n. 罗森达尔 ( 荷 )	EXCELLENT	POS	n. 罗森达尔(在荷兰；东经 4&#186;28' 北纬 51&#186;32')	59520
safeness	n. [表]安全，保险，平安，没受伤，无损，无害，谨慎，稳健，一定，稳定，可靠	EXCELLENT	POS	n. 安全性	13472
salena	n. 【女名】女子名	EXCELLENT	POS	n. 萨丽娜	40217
schmooze	v. 闲谈；n. 闲谈	EXCELLENT	POS	v. 闲谈|n. 闲谈	62246
scorch	v. （使）烧焦；变焦；（使）枯萎；n. 烧焦	EXCELLENT	POS	v. （使）烧焦；变焦；（使）枯萎|n. 烧焦	212879
screech	v. 尖叫；发出尖锐的声音；n. 尖利刺耳的声音	EXCELLENT	POS	v. 尖叫；发出尖锐的声音|n. 尖利刺耳的声音	264240
serviceability	n. 可用性，适用性；使用可靠性；[计] 可服务性；可维修性	EXCELLENT	POS	n. 使用能力(操作性能；耐用性；维护保养方便性)	260182
